CourseType,Description,Location,MaximumAge,MinimumAge,Provider,SkillLevel,Title,Topic,URL
Computer Basic Course,"Have computer or software questions? Get help from a KCLS TechTutor volunteer with computer basics, Microsoft Office, Internet, email and computer learning resources. ",Auburn,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1490)&fq=types:(567990aa9fdb8abb6200c819)/event/5b29947257319d240024a092
Computer Basic Course,"Have computer or software questions? Get help from a KCLS TechTutor volunteer with computer basics, Microsoft Office, Internet, email and computer learning resources. ",Auburn,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1490)&fq=types:(567990aa9fdb8abb6200c819)/event/5b29947257319d240024a092
Computer Basic Course,"Have computer or software questions? Get help from a KCLS TechTutor volunteer with computer basics, Microsoft Office, Internet, email and computer learning resources. ",Auburn,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1490)&fq=types:(567990aa9fdb8abb6200c819)/event/5b29947257319d240024a092
Computer Basic Course,"Have computer or software questions? Get help from a KCLS TechTutor volunteer with computer basics, Microsoft Office, Internet, email and computer learning resources. ",Auburn,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1490)&fq=types:(567990aa9fdb8abb6200c819)/event/5b29947257319d240024a092
Computer Basic Course,"Have computer or software questions? Get help from a KCLS TechTutor volunteer with computer basics, Microsoft Office, Internet, email and computer learning resources. ",Auburn,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1490)&fq=types:(567990aa9fdb8abb6200c819)/event/5b29947257319d240024a092
Computer Basic Course,"Have computer or software questions? Get help from a KCLS TechTutor volunteer with computer basics, Microsoft Office, Internet, email and computer learning resources. ",Auburn,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1490)&fq=types:(567990aa9fdb8abb6200c819)/event/5b29947257319d240024a092
Computer Basic Course,"Have computer or software questions? Get help from a KCLS TechTutor volunteer with computer basics, Microsoft Office, Internet, email and computer learning resources. ",Auburn,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1490)&fq=types:(567990aa9fdb8abb6200c819)/event/5b29947257319d240024a092
Computer Basic Course,"Have computer or software questions? Get help from a KCLS TechTutor volunteer with computer basics, Microsoft Office, Internet, email and computer learning resources. ",Auburn,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1490)&fq=types:(567990aa9fdb8abb6200c819)/event/5b29947257319d240024a092
Computer Basic Course,"Have computer or software questions? Get help from a KCLS TechTutor volunteer with computer basics, Microsoft Office, Internet, email and computer learning resources. ",Auburn,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1490)&fq=types:(567990aa9fdb8abb6200c819)/event/5b29947257319d240024a092
Computer Basic Course,"Have computer or software questions? Get help from a KCLS TechTutor volunteer with computer basics, Microsoft Office, Internet, email and computer learning resources. ",Auburn,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1490)&fq=types:(567990aa9fdb8abb6200c819)/event/5b29947257319d240024a092
