CourseType,Description,Location,MaximumAge,MinimumAge,Provider,SkillLevel,Title,Topic,URL
Lab,"Open creativity lab at the Bellevue Library. Come experiment, imagine, play, problem solve & explore using a variety of creative tools, materials, software programs & more. Meet other makers and creatives to build community connections & learn together. This is a BYOI space--Bring Your Own Ideas.Some featured creative tools are: Lego Mindstorms, Little Bits, Play-Doh, Makey-Makey, 3Doodler Pens, Stop-Motion Animation Kits, the Adobe Creative Suite and Ableton Live software + Ableton Push. ",Bellevue,-1,-1,King County Library System,Beginners,ideaX Drop-in Creativity Lab,ideaX,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1492)&fq=types:(567990aa9fdb8abb6200c819)/event/5b4a7ceeedaf0027006a9079
Lab,"Open creativity lab at the Bellevue Library. Come experiment, imagine, play, problem solve & explore using a variety of creative tools, materials, software programs & more. Meet other makers and creatives to build community connections & learn together. This is a BYOI space--Bring Your Own Ideas.Some featured creative tools are: Lego Mindstorms, Little Bits, Play-Doh, Makey-Makey, 3Doodler Pens, Stop-Motion Animation Kits, the Adobe Creative Suite and Ableton Live software + Ableton Push. ",Bellevue,-1,-1,King County Library System,Beginners,ideaX Drop-in Creativity Lab,ideaX,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1492)&fq=types:(567990aa9fdb8abb6200c819)/event/5b4a7ceeedaf0027006a9079
Lab,"Open creativity lab at the Bellevue Library. Come experiment, imagine, play, problem solve & explore using a variety of creative tools, materials, software programs & more. Meet other makers and creatives to build community connections & learn together. This is a BYOI space--Bring Your Own Ideas.Some featured creative tools are: Lego Mindstorms, Little Bits, Play-Doh, Makey-Makey, 3Doodler Pens, Stop-Motion Animation Kits, the Adobe Creative Suite and Ableton Live software + Ableton Push. ",Bellevue,-1,-1,King County Library System,Beginners,ideaX Drop-in Creativity Lab,ideaX,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1492)&fq=types:(567990aa9fdb8abb6200c819)/event/5b4a7ceeedaf0027006a9079
Lab,"Open creativity lab at the Bellevue Library. Come experiment, imagine, play, problem solve & explore using a variety of creative tools, materials, software programs & more. Meet other makers and creatives to build community connections & learn together. This is a BYOI space--Bring Your Own Ideas.Some featured creative tools are: Lego Mindstorms, Little Bits, Play-Doh, Makey-Makey, 3Doodler Pens, Stop-Motion Animation Kits, the Adobe Creative Suite and Ableton Live software + Ableton Push. ",Bellevue,-1,-1,King County Library System,Beginners,ideaX Drop-in Creativity Lab,ideaX,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1492)&fq=types:(567990aa9fdb8abb6200c819)/event/5b4a7ceeedaf0027006a9079
Lab,"Open creativity lab at the Bellevue Library. Come experiment, imagine, play, problem solve & explore using a variety of creative tools, materials, software programs & more. Meet other makers and creatives to build community connections & learn together. This is a BYOI space--Bring Your Own Ideas.Some featured creative tools are: Lego Mindstorms, Little Bits, Play-Doh, Makey-Makey, 3Doodler Pens, Stop-Motion Animation Kits, the Adobe Creative Suite and Ableton Live software + Ableton Push. ",Bellevue,-1,-1,King County Library System,Beginners,ideaX Drop-in Creativity Lab,ideaX,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1492)&fq=types:(567990aa9fdb8abb6200c819)/event/5b4a7ceeedaf0027006a9079
Lab,"Open creativity lab at the Bellevue Library. Come experiment, imagine, play, problem solve & explore using a variety of creative tools, materials, software programs & more. Meet other makers and creatives to build community connections & learn together. This is a BYOI space--Bring Your Own Ideas.Some featured creative tools are: Lego Mindstorms, Little Bits, Play-Doh, Makey-Makey, 3Doodler Pens, Stop-Motion Animation Kits, the Adobe Creative Suite and Ableton Live software + Ableton Push. ",Bellevue,-1,-1,King County Library System,Beginners,ideaX Drop-in Creativity Lab,ideaX,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1492)&fq=types:(567990aa9fdb8abb6200c819)/event/5b4a7ceeedaf0027006a9079
Lab,"Open creativity lab at the Bellevue Library. Come experiment, imagine, play, problem solve & explore using a variety of creative tools, materials, software programs & more. Meet other makers and creatives to build community connections & learn together. This is a BYOI space--Bring Your Own Ideas.Some featured creative tools are: Lego Mindstorms, Little Bits, Play-Doh, Makey-Makey, 3Doodler Pens, Stop-Motion Animation Kits, the Adobe Creative Suite and Ableton Live software + Ableton Push. ",Bellevue,-1,-1,King County Library System,Beginners,ideaX Drop-in Creativity Lab,ideaX,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1492)&fq=types:(567990aa9fdb8abb6200c819)/event/5b4a7ceeedaf0027006a9079
Lab,"Open creativity lab at the Bellevue Library. Come experiment, imagine, play, problem solve & explore using a variety of creative tools, materials, software programs & more. Meet other makers and creatives to build community connections & learn together. This is a BYOI space--Bring Your Own Ideas.Some featured creative tools are: Lego Mindstorms, Little Bits, Play-Doh, Makey-Makey, 3Doodler Pens, Stop-Motion Animation Kits, the Adobe Creative Suite and Ableton Live software + Ableton Push. ",Bellevue,-1,-1,King County Library System,Beginners,ideaX Drop-in Creativity Lab,ideaX,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1492)&fq=types:(567990aa9fdb8abb6200c819)/event/5b4a7ceeedaf0027006a9079
Lab,"Open creativity lab at the Bellevue Library. Come experiment, imagine, play, problem solve & explore using a variety of creative tools, materials, software programs & more. Meet other makers and creatives to build community connections & learn together. This is a BYOI space--Bring Your Own Ideas.Some featured creative tools are: Lego Mindstorms, Little Bits, Play-Doh, Makey-Makey, 3Doodler Pens, Stop-Motion Animation Kits, the Adobe Creative Suite and Ableton Live software + Ableton Push. ",Bellevue,-1,-1,King County Library System,Beginners,ideaX Drop-in Creativity Lab,ideaX,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1492)&fq=types:(567990aa9fdb8abb6200c819)/event/5b4a7ceeedaf0027006a9079
Lab,"Open creativity lab at the Bellevue Library. Come experiment, imagine, play, problem solve & explore using a variety of creative tools, materials, software programs & more. Meet other makers and creatives to build community connections & learn together. This is a BYOI space--Bring Your Own Ideas.Some featured creative tools are: Lego Mindstorms, Little Bits, Play-Doh, Makey-Makey, 3Doodler Pens, Stop-Motion Animation Kits, the Adobe Creative Suite and Ableton Live software + Ableton Push. ",Bellevue,-1,-1,King County Library System,Beginners,ideaX Drop-in Creativity Lab,ideaX,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1492)&fq=types:(567990aa9fdb8abb6200c819)/event/5b4a7ceeedaf0027006a9079
