CourseType,Description,Location,MaximumAge,MinimumAge,Provider,SkillLevel,Title,Topic,URL
Computer Basic Course,Get help for your computers and technology questions from a Tech Tutor Volunteer! We recommend that you call ahead for an appointment (253.630.8761).,Covington,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1497)&fq=types:(567990aa9fdb8abb6200c819)/event/5b3acd1945bd7b4100f281ab
Computer Basic Course,Get help for your computers and technology questions from a Tech Tutor Volunteer! We recommend that you call ahead for an appointment (253.630.8761).,Covington,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1497)&fq=types:(567990aa9fdb8abb6200c819)/event/5b3acd1945bd7b4100f281ab
Computer Basic Course,Get help for your computers and technology questions from a Tech Tutor Volunteer! We recommend that you call ahead for an appointment (253.630.8761).,Covington,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1497)&fq=types:(567990aa9fdb8abb6200c819)/event/5b3acd1945bd7b4100f281ab
Computer Basic Course,Get help for your computers and technology questions from a Tech Tutor Volunteer! We recommend that you call ahead for an appointment (253.630.8761).,Covington,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1497)&fq=types:(567990aa9fdb8abb6200c819)/event/5b3acd1945bd7b4100f281ab
Computer Basic Course,Get help for your computers and technology questions from a Tech Tutor Volunteer! We recommend that you call ahead for an appointment (253.630.8761).,Covington,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1497)&fq=types:(567990aa9fdb8abb6200c819)/event/5b3acd1945bd7b4100f281ab
Computer Basic Course,Get help for your computers and technology questions from a Tech Tutor Volunteer! We recommend that you call ahead for an appointment (253.630.8761).,Covington,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1497)&fq=types:(567990aa9fdb8abb6200c819)/event/5b3acd1945bd7b4100f281ab
Computer Basic Course,Get help for your computers and technology questions from a Tech Tutor Volunteer! We recommend that you call ahead for an appointment (253.630.8761).,Covington,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1497)&fq=types:(567990aa9fdb8abb6200c819)/event/5b3acd1945bd7b4100f281ab
Computer Basic Course,Get help for your computers and technology questions from a Tech Tutor Volunteer! We recommend that you call ahead for an appointment (253.630.8761).,Covington,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1497)&fq=types:(567990aa9fdb8abb6200c819)/event/5b3acd1945bd7b4100f281ab
Computer Basic Course,Get help for your computers and technology questions from a Tech Tutor Volunteer! We recommend that you call ahead for an appointment (253.630.8761).,Covington,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1497)&fq=types:(567990aa9fdb8abb6200c819)/event/5b3acd1945bd7b4100f281ab
Computer Basic Course,Get help for your computers and technology questions from a Tech Tutor Volunteer! We recommend that you call ahead for an appointment (253.630.8761).,Covington,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1497)&fq=types:(567990aa9fdb8abb6200c819)/event/5b3acd1945bd7b4100f281ab
