CourseType,Description,Location,MaximumAge,MinimumAge,Provider,SkillLevel,Title,Topic,URL
Computer Basic Course,"Have computer or software questions? TechTutor volunteers are here for you. You may bring your own laptop, but TechTutors cannot provide hands-on or hardware assistance.",Issaquah,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1513)&fq=types:(567990aa9fdb8abb6200c819)/event/5b3a384bedaf002700690139
Computer Basic Course,"Have computer or software questions? TechTutor volunteers are here for you. You may bring your own laptop, but TechTutors cannot provide hands-on or hardware assistance.",Issaquah,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1513)&fq=types:(567990aa9fdb8abb6200c819)/event/5b3a384bedaf002700690139
Computer Basic Course,"Have computer or software questions? TechTutor volunteers are here for you. You may bring your own laptop, but TechTutors cannot provide hands-on or hardware assistance.",Issaquah,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1513)&fq=types:(567990aa9fdb8abb6200c819)/event/5b3a384bedaf002700690139
Computer Basic Course,"Have computer or software questions? TechTutor volunteers are here for you. You may bring your own laptop, but TechTutors cannot provide hands-on or hardware assistance.",Issaquah,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1513)&fq=types:(567990aa9fdb8abb6200c819)/event/5b3a384bedaf002700690139
Computer Basic Course,"Have computer or software questions? TechTutor volunteers are here for you. You may bring your own laptop, but TechTutors cannot provide hands-on or hardware assistance.",Issaquah,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1513)&fq=types:(567990aa9fdb8abb6200c819)/event/5b3a384bedaf002700690139
Computer Basic Course,"Have computer or software questions? TechTutor volunteers are here for you. You may bring your own laptop, but TechTutors cannot provide hands-on or hardware assistance.",Issaquah,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1513)&fq=types:(567990aa9fdb8abb6200c819)/event/5b3a384bedaf002700690139
Computer Basic Course,"Have computer or software questions? TechTutor volunteers are here for you. You may bring your own laptop, but TechTutors cannot provide hands-on or hardware assistance.",Issaquah,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1513)&fq=types:(567990aa9fdb8abb6200c819)/event/5b3a384bedaf002700690139
Computer Basic Course,"Have computer or software questions? TechTutor volunteers are here for you. You may bring your own laptop, but TechTutors cannot provide hands-on or hardware assistance.",Issaquah,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1513)&fq=types:(567990aa9fdb8abb6200c819)/event/5b3a384bedaf002700690139
Computer Basic Course,"Have computer or software questions? TechTutor volunteers are here for you. You may bring your own laptop, but TechTutors cannot provide hands-on or hardware assistance.",Issaquah,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1513)&fq=types:(567990aa9fdb8abb6200c819)/event/5b3a384bedaf002700690139
Computer Basic Course,"Have computer or software questions? TechTutor volunteers are here for you. You may bring your own laptop, but TechTutors cannot provide hands-on or hardware assistance.",Issaquah,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1513)&fq=types:(567990aa9fdb8abb6200c819)/event/5b3a384bedaf002700690139
