CourseType,Description,Location,MaximumAge,MinimumAge,Provider,SkillLevel,Title,Topic,URL
Course,"Learn basic skills for entering, correcting and revising text on a computer. Prerequisite: Ability to use the mouse and keyboard. ",Kent,50,19,King County Library System,Beginners,Computer Class: Microsoft Word 2016 Level I,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1520)&fq=types:(567990aa9fdb8abb6200c819)/event/5b42ca2767ab392f00bc3d69
Course,"Learn basic skills for entering, correcting and revising text on a computer. Prerequisite: Ability to use the mouse and keyboard. ",Kent,50,19,King County Library System,Beginners,Computer Class: Microsoft Word 2016 Level I,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1520)&fq=types:(567990aa9fdb8abb6200c819)/event/5b42ca2767ab392f00bc3d69
Course,"Learn basic skills for entering, correcting and revising text on a computer. Prerequisite: Ability to use the mouse and keyboard. ",Kent,50,19,King County Library System,Beginners,Computer Class: Microsoft Word 2016 Level I,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1520)&fq=types:(567990aa9fdb8abb6200c819)/event/5b42ca2767ab392f00bc3d69
Course,"Learn basic skills for entering, correcting and revising text on a computer. Prerequisite: Ability to use the mouse and keyboard. ",Kent,50,19,King County Library System,Beginners,Computer Class: Microsoft Word 2016 Level I,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1520)&fq=types:(567990aa9fdb8abb6200c819)/event/5b42ca2767ab392f00bc3d69
Course,"Learn basic skills for entering, correcting and revising text on a computer. Prerequisite: Ability to use the mouse and keyboard. ",Kent,50,19,King County Library System,Beginners,Computer Class: Microsoft Word 2016 Level I,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1520)&fq=types:(567990aa9fdb8abb6200c819)/event/5b42ca2767ab392f00bc3d69
Course,"Learn basic skills for entering, correcting and revising text on a computer. Prerequisite: Ability to use the mouse and keyboard. ",Kent,50,19,King County Library System,Beginners,Computer Class: Microsoft Word 2016 Level I,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1520)&fq=types:(567990aa9fdb8abb6200c819)/event/5b42ca2767ab392f00bc3d69
Course,"Learn basic skills for entering, correcting and revising text on a computer. Prerequisite: Ability to use the mouse and keyboard. ",Kent,50,19,King County Library System,Beginners,Computer Class: Microsoft Word 2016 Level I,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1520)&fq=types:(567990aa9fdb8abb6200c819)/event/5b42ca2767ab392f00bc3d69
Course,"Learn basic skills for entering, correcting and revising text on a computer. Prerequisite: Ability to use the mouse and keyboard. ",Kent,50,19,King County Library System,Beginners,Computer Class: Microsoft Word 2016 Level I,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1520)&fq=types:(567990aa9fdb8abb6200c819)/event/5b42ca2767ab392f00bc3d69
Course,"Learn basic skills for entering, correcting and revising text on a computer. Prerequisite: Ability to use the mouse and keyboard. ",Kent,50,19,King County Library System,Beginners,Computer Class: Microsoft Word 2016 Level I,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1520)&fq=types:(567990aa9fdb8abb6200c819)/event/5b42ca2767ab392f00bc3d69
Course,"Learn basic skills for entering, correcting and revising text on a computer. Prerequisite: Ability to use the mouse and keyboard. ",Kent,50,19,King County Library System,Beginners,Computer Class: Microsoft Word 2016 Level I,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1520)&fq=types:(567990aa9fdb8abb6200c819)/event/5b42ca2767ab392f00bc3d69
