CourseType,Description,Location,MaximumAge,MinimumAge,Provider,SkillLevel,Title,Topic,URL
Computer Basic Course," Have computer or software questions? Get help from KCLS volunteers with computer basics, Microsoft Office, Internet, email and computer learning resources.",Renton,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1556)&fq=types:(567990aa9fdb8abb6200c819)/event/5b5fc94c85e5d92500777a8b
Computer Basic Course," Have computer or software questions? Get help from KCLS volunteers with computer basics, Microsoft Office, Internet, email and computer learning resources.",Renton,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1556)&fq=types:(567990aa9fdb8abb6200c819)/event/5b5fc94c85e5d92500777a8b
Computer Basic Course," Have computer or software questions? Get help from KCLS volunteers with computer basics, Microsoft Office, Internet, email and computer learning resources.",Renton,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1556)&fq=types:(567990aa9fdb8abb6200c819)/event/5b5fc94c85e5d92500777a8b
Computer Basic Course," Have computer or software questions? Get help from KCLS volunteers with computer basics, Microsoft Office, Internet, email and computer learning resources.",Renton,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1556)&fq=types:(567990aa9fdb8abb6200c819)/event/5b5fc94c85e5d92500777a8b
Computer Basic Course," Have computer or software questions? Get help from KCLS volunteers with computer basics, Microsoft Office, Internet, email and computer learning resources.",Renton,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1556)&fq=types:(567990aa9fdb8abb6200c819)/event/5b5fc94c85e5d92500777a8b
Computer Basic Course," Have computer or software questions? Get help from KCLS volunteers with computer basics, Microsoft Office, Internet, email and computer learning resources.",Renton,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1556)&fq=types:(567990aa9fdb8abb6200c819)/event/5b5fc94c85e5d92500777a8b
Computer Basic Course," Have computer or software questions? Get help from KCLS volunteers with computer basics, Microsoft Office, Internet, email and computer learning resources.",Renton,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1556)&fq=types:(567990aa9fdb8abb6200c819)/event/5b5fc94c85e5d92500777a8b
Computer Basic Course," Have computer or software questions? Get help from KCLS volunteers with computer basics, Microsoft Office, Internet, email and computer learning resources.",Renton,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1556)&fq=types:(567990aa9fdb8abb6200c819)/event/5b5fc94c85e5d92500777a8b
Computer Basic Course," Have computer or software questions? Get help from KCLS volunteers with computer basics, Microsoft Office, Internet, email and computer learning resources.",Renton,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1556)&fq=types:(567990aa9fdb8abb6200c819)/event/5b5fc94c85e5d92500777a8b
Computer Basic Course," Have computer or software questions? Get help from KCLS volunteers with computer basics, Microsoft Office, Internet, email and computer learning resources.",Renton,50,19,King County Library System,Beginners,One-on-One Computer Help,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1556)&fq=types:(567990aa9fdb8abb6200c819)/event/5b5fc94c85e5d92500777a8b
