CourseType,Description,Locations,MaximumAge,MinimumAge,Provider,SkillLevel,Title,Topics,URL
Course,"Animatronics is the use of engineering and art to develop animated electronic creatures. In this course, you'll work in teams to animate toys by designing movement, customizing appearance and making your creatures interactive. We’ll also explore simple mechatronics — the combination of mechanical, electrical and computer engineering that’s behind robotic and other systems. ",['UW Seattle'],14,12,UW Summer Youth Programs,Beginner-Advanced,Animatronics: Where Engineering & Art Collide,"['Engineering', 'Art']",https://www.summer-camp.uw.edu/camps-courses-masters/animatronics-where-engineering-art-collide/
Course,"Animatronics is the use of engineering and art to develop animated electronic creatures. In this course, you'll work in teams to animate toys by designing movement, customizing appearance and making your creatures interactive. We’ll also explore simple mechatronics — the combination of mechanical, electrical and computer engineering that’s behind robotic and other systems. ",['UW Seattle'],14,12,UW Summer Youth Programs,Beginner-Advanced,Animatronics: Where Engineering & Art Collide,"['Engineering', 'Art']",https://www.summer-camp.uw.edu/camps-courses-masters/animatronics-where-engineering-art-collide/
Course,"Explore computer science and coding in the Java programming language. This introductory course will focus on fundamental computer science concepts, control and data structures, and best practices for programming in Java. Concepts taught include statements and variables, objects, expressions, conditionals and for loops and other control structures. You’ll learn fundamentals of programming that will be applicable to AP Computer Science and to other languages, including Ruby, Python and C++. ","['Downtown Seattle', 'Bellevue']",18,15,UW Summer Youth Programs,Beginner-Advanced,Coding in Java I,['Code'],https://www.summer-camp.uw.edu/camps-courses-masters/coding-in-java-i/
Course,"Get programming in Python! This course will focus on fundamental computer science concepts, control and data structures, and best practices for coding and debugging in Python. We’ll cover statements and variables, values, expressions, conditionals, Booleans, while loops, randomness, libraries, debugging, program analysis, procedural drawing (lines, shapes and colors; animation; and program structure) and more.","['Bellevue', 'Downtown Seattle']",18,15,UW Summer Youth Programs,Beginner-Advanced,Coding in Python I,['Code'],https://www.summer-camp.uw.edu/camps-courses-masters/coding-in-python-i/
Course,"Get programming in Python! This course will focus on fundamental computer science concepts, control and data structures, and best practices for coding and debugging in Python. We’ll cover statements and variables, values, expressions, conditionals, Booleans, while loops, randomness, libraries, debugging, program analysis, procedural drawing (lines, shapes and colors; animation; and program structure) and more.","['Bellevue', 'Downtown Seattle']",18,15,UW Summer Youth Programs,Beginner-Advanced,Coding in Python I,['Code'],https://www.summer-camp.uw.edu/camps-courses-masters/coding-in-python-i/
Course,"New to coding? Learn Python, one of the most widely used languages in the software industry. Python is an excellent starter language because it’s easy to read and work with, which minimizes frustration and lets you focus on core concepts, problem solving, design and coding.",['UW Seattle'],14,12,UW Summer Youth Programs,Beginner-Advanced,Coding in Python,"['Art', 'Code']",https://www.summer-camp.uw.edu/camps-courses-masters/coding-in-python/
Course,"Come learn about green energy alternatives, with a focus on wind-generated power. Use your engineering talents to build electricity-generating wind turbines and your math skills to measure energy output and make designs more efficient. Other projects might include wind-powered vehicles, solar ovens, architectural models of a green city, and coming up with innovative approaches to meet our energy needs. Employ computer simulations and drafting software to create computerized design models. You’ll also have the chance to connect with real-world scientists through campus field trips and to present your projects to family and friends on the last day.",['UW Seattle'],14,12,UW Summer Youth Programs,Beginner-Advanced,Engineering Sustainable Communities,['Engineering'],https://www.summer-camp.uw.edu/camps-courses-masters/engineering-sustainable-communities/
Camp,This camp will inspire lots of dinner (and lunch) talk about the hows and whys of eating. Come explore the connections between food and culture by investigating the influences and historical ties of the food that people eat. Investigate questions like: Do geography and climate affect what people eat? Where does your food come from? How do plants make food? What do animals eat? Come discover if you are what you eat!,['UW Seattle'],11,7,UW Summer Youth Programs,Beginner-Advanced,Focus on Food,[],https://www.summer-camp.uw.edu/camps-courses-masters/focus-on-food/
Course,"This course is for students who are serious about screenwriting. In this workshop, you'll construct three acts, intensify conflict and build character arcs. You'll learn how to turn a story first into a treatment and then into a feature-length shooting script. We'll discuss the business of screenwriting — the query, the agent, the pitch — and screen relevant films during lunch. In the mornings, there'll be instruction in narrative structure, writing time and individual conferencing with the instructor, and in afternoon seminars you'll carefully critique each other's drafts. Students should plan on bringing a laptop to class.",['UW Seattle'],18,16,UW Summer Youth Programs,Beginner-Advanced,Intensive Screenwriting Workshop: From Concept to Clapboard,[],https://www.summer-camp.uw.edu/camps-courses-masters/intensive-screenwriting-workshop-from-concept-to/
Course,"What do you get when you cross metallurgy, physics, chemistry, and civil, mechanical and electrical engineering? Materials science, of course! Students will explore the materials we use to make stuff stronger, lighter and better. Create a golden penny, make sparks, grow crystals, use fruit and metals to engineer a battery, and compete with classmates to create the strongest cement. Join us for these and many other lab activities during a fast-paced week of learning and fun! This course is offered in partnership with the UW Department of Materials Science & Engineering and the ASM Materials Education Foundation.",['UW Seattle'],14,12,UW Summer Youth Programs,Beginner-Advanced,Materials Science: Discover & Design,"['Engineering', 'Art']",https://www.summer-camp.uw.edu/camps-courses-masters/materials-science-discover-design/
Course,"What do you get when you cross metallurgy, physics, chemistry, and civil, mechanical and electrical engineering? Materials science, of course! Students will explore the materials we use to make stuff stronger, lighter and better. Create a golden penny, make sparks, grow crystals, use fruit and metals to engineer a battery, and compete with classmates to create the strongest cement. Join us for these and many other lab activities during a fast-paced week of learning and fun! This course is offered in partnership with the UW Department of Materials Science & Engineering and the ASM Materials Education Foundation.",['UW Seattle'],14,12,UW Summer Youth Programs,Beginner-Advanced,Materials Science: Discover & Design,"['Engineering', 'Art']",https://www.summer-camp.uw.edu/camps-courses-masters/materials-science-discover-design/
Program,"Improve your opportunities in life by learning to write well. Study writing fundamentals, skills and strategies and then put them to practice. Read and analyze texts on a hot topic and use that analysis to create narrative, persuasive and expository essays. Develop the tools to edit your own work more effectively and gain a new understanding of the English language. Students should plan on bringing a laptop to class.",['UW Seattle'],18,15,UW Summer Youth Programs,Beginner-Advanced,Sharpen Your Writing Skills,[],https://www.summer-camp.uw.edu/camps-courses-masters/sharpen-your-writing-skills/
