CourseType,Description,Location,MaximumAge,MinimumAge,Provider,SkillLevel,Title,Topic,URL
Workshop,"Get started with KCLS eBooks! Bring your eReader, tablet, phone or just your questions.",White Center,50,19,King County Library System,Beginners,Drop In to Learn about eBooks,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1547)&fq=types:(567990aa9fdb8abb6200c819)/event/5a2eca3bb216b6290081a235
Workshop,"Get started with KCLS eBooks! Bring your eReader, tablet, phone or just your questions.",White Center,50,19,King County Library System,Beginners,Drop In to Learn about eBooks,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1547)&fq=types:(567990aa9fdb8abb6200c819)/event/5a2eca3bb216b6290081a235
Workshop,"Get started with KCLS eBooks! Bring your eReader, tablet, phone or just your questions.",White Center,50,19,King County Library System,Beginners,Drop In to Learn about eBooks,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1547)&fq=types:(567990aa9fdb8abb6200c819)/event/5a2eca3bb216b6290081a235
Workshop,"Get started with KCLS eBooks! Bring your eReader, tablet, phone or just your questions.",White Center,50,19,King County Library System,Beginners,Drop In to Learn about eBooks,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1547)&fq=types:(567990aa9fdb8abb6200c819)/event/5a2eca3bb216b6290081a235
Workshop,"Get started with KCLS eBooks! Bring your eReader, tablet, phone or just your questions.",White Center,50,19,King County Library System,Beginners,Drop In to Learn about eBooks,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1547)&fq=types:(567990aa9fdb8abb6200c819)/event/5a2eca3bb216b6290081a235
Workshop,"Get started with KCLS eBooks! Bring your eReader, tablet, phone or just your questions.",White Center,50,19,King County Library System,Beginners,Drop In to Learn about eBooks,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1547)&fq=types:(567990aa9fdb8abb6200c819)/event/5a2eca3bb216b6290081a235
Workshop,"Get started with KCLS eBooks! Bring your eReader, tablet, phone or just your questions.",White Center,50,19,King County Library System,Beginners,Drop In to Learn about eBooks,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1547)&fq=types:(567990aa9fdb8abb6200c819)/event/5a2eca3bb216b6290081a235
Workshop,"Get started with KCLS eBooks! Bring your eReader, tablet, phone or just your questions.",White Center,50,19,King County Library System,Beginners,Drop In to Learn about eBooks,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1547)&fq=types:(567990aa9fdb8abb6200c819)/event/5a2eca3bb216b6290081a235
Workshop,"Get started with KCLS eBooks! Bring your eReader, tablet, phone or just your questions.",White Center,50,19,King County Library System,Beginners,Drop In to Learn about eBooks,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1547)&fq=types:(567990aa9fdb8abb6200c819)/event/5a2eca3bb216b6290081a235
Workshop,"Get started with KCLS eBooks! Bring your eReader, tablet, phone or just your questions.",White Center,50,19,King County Library System,Beginners,Drop In to Learn about eBooks,Computers & Technology,https://kcls.bibliocommons.com/events/search/fq=branch_location_id:(1547)&fq=types:(567990aa9fdb8abb6200c819)/event/5a2eca3bb216b6290081a235
