CourseType,Description,Locations,MaximumAge,MinimumAge,Provider,SkillLevel,Title,Topic,URL
Seminar / Event,Hear from the JavaScript and Front-End Web Development instructor and learn about the programs to figure out if these courses are a fit for you.,['Online'],-1,-1,General Assembly,Intermediate,JavaScript & Front-End Web Development Info Session Livestream,Coding,http://generalassemb.ly/education/front-end-web-development/seattle/learn-more/8902
Course,"12-weeks. All day, every day. Learn the skills to become an entry-level web developer and the resources to get a job in this intensive program.",['Unknown'],-1,-1,General Assembly,Intermediate,Web Development Immersive,Coding,http://generalassemb.ly/education/web-development-immersive/seattle
Seminar / Event,Are you curious about General Assembly’s upcoming Web Development Immersive?  Come hear from the instructor and GA alumni and figure out if this course is a fit for you.,['Online'],-1,-1,General Assembly,Intermediate,Web Development Immersive Info Session,Coding,http://generalassemb.ly/education/web-development-immersive/seattle/learn-more/8905
Seminar / Event,This workshop that teaches you SQL queries needed to collect data from a database and analyze the data to find the answers you’re looking for.,"['1218 Third Avenue, 3rd Floor']",-1,-1,General Assembly,Intermediate,Introduction to SQL,Coding,http://generalassemb.ly/education/introduction-to-sql/seattle/52594
Seminar / Event,Explore the programming languages that power the web and write your first line of code.,['Online Class'],-1,-1,General Assembly,Intermediate,Intro to Coding: HTML & CSS | Livestream,Coding,http://generalassemb.ly/education/intro-to-coding-html-css-livestream/seattle/50894
Seminar / Event,Learn the fundamentals of front-end coding. Try your hand at writing your own code and build a basic web page from scratch.,"['1218 Third Avenue, 3rd Floor']",-1,-1,General Assembly,Intermediate,Code in One Day: HTML & CSS Crash Course,Coding,http://generalassemb.ly/education/code-in-one-day-html-css-crash-course/seattle/52939
Course,"In this 10-week course, students learn to code, speak the language and implement their own designs by learning HTML, CSS, and JavaScript.",['Unknown'],-1,-1,General Assembly,Intermediate,Front-End Web Development,Coding,http://generalassemb.ly/education/front-end-web-development/seattle
Seminar / Event,Join us for a free introductory coding class presented by GA and Downtown Seattle Association!,['117 S Washington Street (in Pioneer Square)'],-1,-1,General Assembly,Intermediate,Code in the Park,Coding,http://generalassemb.ly/education/code-in-the-park-d0c6391d-ed6b-4d7e-b05f-052488d6d80e/seattle/52121
Seminar / Event,"This online bootcamp will bring you into the world of coding. Dive head first into HTML & CSS, skill up with live coding exercises, and build a basic web page from scratch.",['Online Class'],-1,-1,General Assembly,Intermediate,Code in One Day: HTML & CSS Bootcamp Remote (Online),Coding,http://generalassemb.ly/education/code-in-one-day-html-css-bootcamp-remote-online/seattle/54914
Seminar / Event,"Take your front end development skills to the next level.  Learn the fundamentals of the Javascript language covering variables, functions, data types and work with the DOM.",['Online Class'],-1,-1,General Assembly,Intermediate,Intro to Javascript | Livestream,Coding,http://generalassemb.ly/education/intro-to-javascript-livestream/seattle/53492
Seminar / Event,"General Assembly and Redhook Brewlab join forces to bring the power of code to the Seattle community for one high impact, interactive evening.",['714 E Pike Street'],-1,-1,General Assembly,Intermediate,Code at the Brewery: GA x RedHook Brewlab,Coding,http://generalassemb.ly/education/code-at-the-brewery-ga-x-redhook-brewlab/seattle/52940
Seminar / Event,This class will cover the basics of how to organize and lead projects (software and non-software alike) in an Agile manner.,"['1218 Third Avenue, 3rd Floor']",-1,-1,General Assembly,Intermediate,"Agile, Scrum, and Kanban: Making Your Processes Work For You",Coding,http://generalassemb.ly/education/agile-scrum-and-kanban-making-your-processes-work-for-you/seattle/52556
