CourseType,Description,Locations,MaximumAge,MinimumAge,Provider,SkillLevel,Title,Topic,URL
Course,,"['2757 152nd Ave NE, Redmond, WA']",-1,-1,Kal Academy,Intermediate,Software Development Deep Stack,Boot camp Program,http://www.kalacademy.org/home/Calendar
Course,,"['2757 152nd Ave NE, Redmond, WA']",-1,-1,Kal Academy,Intermediate,Artificial Intelligence Deep Stack,Boot camp Program,http://www.kalacademy.org/home/Calendar
Course,,"['2757 152nd Ave NE, Redmond, WA']",-1,-1,Kal Academy,Intermediate,Web Development Full Stack,Boot camp Program,http://www.kalacademy.org/home/Calendar
Course,,"['2757 152nd Ave NE, Redmond, WA']",-1,-1,Kal Academy,Intermediate,Python,Introduction to Programming,http://www.kalacademy.org/home/Calendar
Course,,"['2757 152nd Ave NE, Redmond, WA']",-1,-1,Kal Academy,Intermediate,C#,Introduction to Programming,http://www.kalacademy.org/home/Calendar
Course,,"['2757 152nd Ave NE, Redmond, WA']",-1,-1,Kal Academy,Intermediate,C++,Introduction to Programming,http://www.kalacademy.org/home/Calendar
Course,,"['2757 152nd Ave NE, Redmond, WA']",-1,-1,Kal Academy,Intermediate,Algorithms and Data Structures,Technical Interview Prep,http://www.kalacademy.org/home/Calendar
Course,,"['2757 152nd Ave NE, Redmond, WA']",-1,-1,Kal Academy,Intermediate,Algorithms and Data Structures,Technical Interview Prep,http://www.kalacademy.org/home/Calendar
Course,,"['2757 152nd Ave NE, Redmond, WA']",-1,-1,Kal Academy,Advanced,Business Intelligence,Data Processing,http://www.kalacademy.org/home/Calendar
Course,,"['2757 152nd Ave NE, Redmond, WA']",-1,-1,Kal Academy,Advanced,Artificial Intelligence,Data Processing,http://www.kalacademy.org/home/Calendar
Course,,"['2757 152nd Ave NE, Redmond, WA']",-1,-1,Kal Academy,Advanced,Project Innovation Lab,Advanced Programming,http://www.kalacademy.org/home/Calendar
Course,,"['2757 152nd Ave NE, Redmond, WA']",-1,-1,Kal Academy,Advanced,AR/VR Development,Advanced Programming,http://www.kalacademy.org/home/Calendar
Course,,"['2757 152nd Ave NE, Redmond, WA']",-1,-1,Kal Academy,Advanced,IoT Development,Advanced Programming,http://www.kalacademy.org/home/Calendar
Course,,"['2757 152nd Ave NE, Redmond, WA']",-1,-1,Kal Academy,Advanced,iOS App Development,Web/Mobile Development,http://www.kalacademy.org/home/Calendar
Course,,"['2757 152nd Ave NE, Redmond, WA']",-1,-1,Kal Academy,Advanced,Android App Development,Web/Mobile Development,http://www.kalacademy.org/home/Calendar
Course,,"['2757 152nd Ave NE, Redmond, WA']",-1,-1,Kal Academy,Advanced,Web/Mobile Development,Web/Mobile Development,http://www.kalacademy.org/home/Calendar
Course,,"['2757 152nd Ave NE, Redmond, WA']",-1,-1,Kal Academy,Advanced,Game development With Unity,Game development,http://www.kalacademy.org/home/Calendar
