CourseType,Description,Locations,MaximumAge,MinimumAge,Provider,SkillLevel,Title,Topic,URL
Class / Web Course,"
Get hands-on instruction and practice installing and configuring Windows Server 2012, including Windows Server 2012 R2, in this five-day Microsoft Official Course. This course is part one in a series of three courses that provides the skills and knowledge necessary to implement a core Windows Server 2012 infrastructure in an existing enterprise environment.","['1700 7th Ave #2100', '14205 SE 36th St #100', '19125 North Creek Pkwy #120']",-1,-1,ONLC,Intermediate / Advanced,Installing and Configuring Windows Server 2012 - 20410 Course Outline | ONLC,Network / Cloud,https://www.onlc.com/outline.asp?loc=WASE&ccode=A20410
Class / Web Course,"
Get hands-on instruction and practice administering Windows Server 2012, including Windows Server 2012 R2, in this five-day Microsoft Official Course. This course is part two in a series of three courses that provides the skills and knowledge necessary to implement a core Windows Server 2012 infrastructure in an existing enterprise environment.","['1700 7th Ave #2100', '14205 SE 36th St #100', '19125 North Creek Pkwy #120']",-1,-1,ONLC,Intermediate / Advanced,Administering Windows Server 2012 - 20411 Course Outline | ONLC,Network / Cloud,https://www.onlc.com/outline.asp?loc=WASE&ccode=A20411
Class / Web Course,"
Get hands-on instruction and practice administering Active Directory technologies in Windows Server 2012 and Windows Server 2012 R2 in this 5-day Microsoft Official Course. You will learn the skills you need to better manage and protect data access and information, simplify deployment and management of your identity infrastructure, and provide more secure access to data from virtually anywhere. You will learn how to configure some of the key features in Active Directory such as Active Directory Domain Services, Group Policy, Dynamic Access Control, Work Folders, Workplace Join, Certificate Services, Rights Management Services and Federation Services, as well as integrating your on premise environment with cloud based technologies such as Windows Azure Active Directory. As part of the learning experience, you will perform hands-on exercises in a virtual lab environment. This course is based on Windows Server 2012 and Windows Server 2012 R2.","['1700 7th Ave #2100', '14205 SE 36th St #100', '19125 North Creek Pkwy #120']",-1,-1,ONLC,Intermediate / Advanced,Active Directory Services with Windows Server - 10969 Course Outline | ONLC,Network / Cloud,https://www.onlc.com/outline.asp?loc=WASE&ccode=A10969
Class / Web Course,"
This two-day instructor-led course teaches IT support Professionals how to configure Active Directory Domain Services objects such as users, computers and groups (AD DS) and how to implement and configure Group Policy.","['1700 7th Ave #2100', '14205 SE 36th St #100', '19125 North Creek Pkwy #120']",-1,-1,ONLC,Intermediate / Advanced,Active Directory 2016 for Support Professionals - AP16 Course Outline | ONLC,Network / Cloud,https://www.onlc.com/outline.asp?loc=WASE&ccode=AMAP16
Class / Web Course,"
This five-day instructor-led course teaches IT Pros how to deploy and configure Active Directory Domain Services (AD DS) in a distributed environment, how to implement Group Policy, how to perform backup and restore, and how to monitor and troubleshoot Active Directoryrelated issues with Windows Server 2016. Additionally, this course teaches how to deploy other Active Directory server roles such as Active Directory Federation Services (AD FS) and Active Directory Certificate Services (AD CS).","['1700 7th Ave #2100', '14205 SE 36th St #100', '19125 North Creek Pkwy #120']",-1,-1,ONLC,Intermediate / Advanced,Identity with Windows Server 2016 - 20742 Course Outline | ONLC,Network / Cloud,https://www.onlc.com/outline.asp?loc=WASE&ccode=A20742
Class / Web Course,"
This course includes an introduction to Creative Cloud overall, including using the Creative Cloud panel and other services included in a Creative Cloud subscription. In addition, you will learn the Core Skills required to work in Illustrator, InDesign and Photoshop.This course will prepare you for Advanced courses in these three applications.","['1700 7th Ave #2100', '14205 SE 36th St #100', '19125 North Creek Pkwy #120']",-1,-1,ONLC,Intermediate / Advanced,Adobe CC Graphic Design Bootcamp Course Outline | ONLC,Network / Cloud,https://www.onlc.com/outline.asp?loc=WASE&ccode=IGDBC8
Class / Web Course,"
Communicating ideas and information is the cornerstone of organizational operations. And, electronic forms of communication have made the transfer of knowledge quick, easy, and inexpensive. The ability to harness the potential of electronic forms of communication is critical in nearly every type of organization. But, in many, if not most, organizations, people work with a wide variety of devices running on a wide variety of platforms. And sometimes, what works well or looks good on one device, won't work at all on another device. Or, your carefully designed and formatted document may end up looking like a jumbled mess on someone else's computer. So, how do you balance the need to communicate ideas to large groups of people with the enormous diversity found in today's electronic devices? The answer: you don't have to because Adobe created the Portable Document Format (PDF) as a solution to incompatible document formats.","['1700 7th Ave #2100', '14205 SE 36th St #100', '19125 North Creek Pkwy #120']",-1,-1,ONLC,Intermediate / Advanced,Adobe Acrobat DC Introduction Course Outline | ONLC,Network / Cloud,https://www.onlc.com/outline.asp?loc=WASE&ccode=WAA1DC
Class / Web Course,"
As a business professional, you have some experience using Adobe® Acrobat®. Now you're ready to take further advantage of all the features of Acrobat Pro DC to bring your documents to the next level. Whether you are creating PDFs for commercial printing or for viewing digital versions on a range of platforms, Adobe Acrobat Pro DC enables you to output your content so your audience will be able to access and view the document just the way you intended.","['1700 7th Ave #2100', '14205 SE 36th St #100', '19125 North Creek Pkwy #120']",-1,-1,ONLC,Intermediate / Advanced,Adobe Acrobat DC Advanced Course Outline | ONLC,Network / Cloud,https://www.onlc.com/outline.asp?loc=WASE&ccode=WAA2DC
Class / Web Course,"
Communicating ideas and information is the cornerstone of organizational operations. And, electronic forms of communication have made the transfer of knowledge quick, easy, and inexpensive. The ability to harness the potential of electronic forms of communication is critical in nearly every type of organization. But, in many, if not most, organizations, people work with a wide variety of devices running on a wide variety of platforms. And sometimes, what works well or looks good on one device, won't work at all on another device. Or, your carefully designed and formatted document may end up looking like a jumbled mess on someone else's computer. So, how do you balance the need to communicate ideas to large groups of people with the enormous diversity found in today's electronic devices? The answer: you don't have to because Adobe created the Portable Document Format as a solution to incompatible document formats.","['1700 7th Ave #2100', '14205 SE 36th St #100', '19125 North Creek Pkwy #120']",-1,-1,ONLC,Intermediate / Advanced,Adobe Acrobat XI Introduction Course Outline | ONLC,Software,https://www.onlc.com/outline.asp?loc=WASE&ccode=WAA111
Class / Web Course,"
As a business professional, you have some experience using Adobe® Acrobat®. Now you're ready to take further advantage of all the features of Acrobat XI to bring your documents to the next level. Whether you are creating PDFs for commercial printing or for viewing digital versions on a range of platforms, Adobe Acrobat XI enables you to output your content so your audience will be able to access and view the document just the way you intended.","['1700 7th Ave #2100', '14205 SE 36th St #100', '19125 North Creek Pkwy #120']",-1,-1,ONLC,Intermediate / Advanced,Adobe Acrobat XI Advanced Course Outline | ONLC,Software,https://www.onlc.com/outline.asp?loc=WASE&ccode=WAA211
Class / Web Course,"
This class includes a thorough review of the Animate interface including how to use tools and panels, and how to customize and save workspaces. You will also gain an understanding of authoring and output file types.","['1700 7th Ave #2100', '14205 SE 36th St #100', '19125 North Creek Pkwy #120']",-1,-1,ONLC,Intermediate / Advanced,Adobe Animate CC Core Skills: Level 1 Course Outline | ONLC,Software,https://www.onlc.com/outline.asp?loc=WASE&ccode=IAN1C8
Class / Web Course,"
Once you gain a foundation and some experience using Core Skills, you are ready for Level 2 training. IMPORTANT: To ensure you have the necessary skills for successful participation in the Level 2 training for Animate, please carefully review the topics included in the Level 1 course for Animate.","['1700 7th Ave #2100', '14205 SE 36th St #100', '19125 North Creek Pkwy #120']",-1,-1,ONLC,Intermediate / Advanced,Adobe Animate CC Core Skills: Level 2 Course Outline | ONLC,Software,https://www.onlc.com/outline.asp?loc=WASE&ccode=IAN2C8
Class / Web Course,"
This course teaches the core Adobe Captivate 2017 (also known as Captivate 10) skills needed to create interactive eLearning and mLearning content.","['1700 7th Ave #2100', '14205 SE 36th St #100', '19125 North Creek Pkwy #120']",-1,-1,ONLC,Intermediate / Advanced,Adobe Captivate 2017 Core Skills: Level 1 Course Outline | ONLC,Software,https://www.onlc.com/outline.asp?loc=WASE&ccode=ICA1C7
Class / Web Course,"
Once you gain a foundation and some experience using Core Skills, you are ready for Level 2 training. IMPORTANT: To ensure you have the necessary skills for successful participation in the Level 2 training for Captivate, please carefully review the topics included in the Level 1 course for Captivate.","['1700 7th Ave #2100', '14205 SE 36th St #100', '19125 North Creek Pkwy #120']",-1,-1,ONLC,Intermediate / Advanced,Adobe Captivate 2017 Core Skills: Level 2 Course Outline | ONLC,Software,https://www.onlc.com/outline.asp?loc=WASE&ccode=ICA2C7
Class / Web Course,"
This class includes a thorough review of the Dreamweaver interface including how to use Design, Code and Live Code views. You will learn to create and edit basic pages in Design and Code views. You will then learn to integrate page elements, including images and links, and how to apply properties including font types, styles and color.","['1700 7th Ave #2100', '14205 SE 36th St #100', '19125 North Creek Pkwy #120']",-1,-1,ONLC,Intermediate / Advanced,Adobe Dreamweaver CC Core Skills: Level 1 Course Outline | ONLC,Software,https://www.onlc.com/outline.asp?loc=WASE&ccode=IDW1C8
Class / Web Course,"
Once you gain a foundation and some experience using Core Skills, you are ready for Level 2 training. IMPORTANT: To ensure you have the necessary skills for successful participation in the Level 2 training for Dreamweaver, please carefully review the topics included in the Level 1 course for Dreamweaver.","['1700 7th Ave #2100', '14205 SE 36th St #100', '19125 North Creek Pkwy #120']",-1,-1,ONLC,Intermediate / Advanced,Adobe Dreamweaver CC Core Skills: Level 2 Course Outline | ONLC,Software,https://www.onlc.com/outline.asp?loc=WASE&ccode=IDW2C8
Class / Web Course,"
Dreamweaver CS6: Basic, ACE Edition is part of a two-course ILT series that will help students prepare for the Adobe Certified Expert exam for Dreamweaver CS6. In this course, students will learn how to plan, create, and modify a website. Students will also learn how to create pages and format text; define structural elements; create and apply CSS style rules; insert and modify images and links; test and manage Web site files; and publish a site.","['1700 7th Ave #2100', '14205 SE 36th St #100', '19125 North Creek Pkwy #120']",-1,-1,ONLC,Intermediate / Advanced,Dreamweaver CS6: Introduction Course Outline | ONLC,Software,https://www.onlc.com/outline.asp?loc=WASE&ccode=IDWIC6
Class / Web Course,"
Dreamweaver CS6: Advanced, ACE Edition is part of a two-course ILT series that will help students prepare for the Adobe Certified Expert exam for Dreamweaver CS6. In this course, students will learn how to design pages with CSS; create and apply templates and server-side includes; and build accessible forms that validate user information. Students will also learn how to position elements and apply behaviors, integrate XML-based data, create jQuery mobile pages, and collaborate with other site developers.","['1700 7th Ave #2100', '14205 SE 36th St #100', '19125 North Creek Pkwy #120']",-1,-1,ONLC,Intermediate / Advanced,Dreamweaver CS6: Advanced Course Outline | ONLC,Software,https://www.onlc.com/outline.asp?loc=WASE&ccode=IDWMC6
Class / Web Course,"
This class includes a thorough review of the Illustrator interface including how to use tools and panels, and how to customize and save workspaces. You will learn how to set up documents and save document presets, use multiple artboards, and navigate and zoom in and out as needed as you create illustrations.","['1700 7th Ave #2100', '14205 SE 36th St #100', '19125 North Creek Pkwy #120']",-1,-1,ONLC,Intermediate / Advanced,Adobe Illustrator CC Core Skills: Level 1 Course Outline | ONLC,Software,https://www.onlc.com/outline.asp?loc=WASE&ccode=IIL1C8
Class / Web Course,"
Once you gain a foundation and some experience using Core Skills, you are ready for Level 2 training. IMPORTANT: To ensure you have the necessary skills for successful participation in the Level 2 training for Illustrator, please carefully review the topics included in the Level 1 course for Illustrator.","['1700 7th Ave #2100', '14205 SE 36th St #100', '19125 North Creek Pkwy #120']",-1,-1,ONLC,Intermediate / Advanced,Adobe Illustrator CC Core Skills: Level 2 Course Outline | ONLC,Software,https://www.onlc.com/outline.asp?loc=WASE&ccode=IIL2C8
Class / Web Course,"
Illustrator CS6 Introduction, is part of a two-course ILT series, which is designed to help students prepare for the Adobe Certified Expert exam for Illustrator CS6. This course covers the fundamentals of Illustrator CS6, which is used primarily to work with vector-based graphics.","['1700 7th Ave #2100', '14205 SE 36th St #100', '19125 North Creek Pkwy #120']",-1,-1,ONLC,Intermediate / Advanced,Adobe Illustrator CS6 Introduction Course Outline | ONLC,Software,https://www.onlc.com/outline.asp?loc=WASE&ccode=WILIC6
